,Image frame,x_px,y_px,x,y,u,v,up_x,down_x
0,,,,,,,,,
1,1.0,,,,,,,,
2,2.0,,,,,,,,
3,3.0,,,,,,,,
4,4.0,,,,,,,,
5,5.0,,,,,,,,
6,6.0,,,,,,,,
7,7.0,,,,,,,,
8,8.0,,,,,,,,
9,9.0,,,,,,,,
10,10.0,,,,,,,,
11,11.0,,,,,,,,
12,12.0,,,,,,,,
13,13.0,,,,,,,,
14,14.0,,,,,,,,
15,15.0,,,,,,,,
16,16.0,,,,,,,,
17,17.0,,,,,,,,
18,18.0,,,,,,,,
19,19.0,,,,,,,,
20,20.0,,,,,,,,
21,21.0,,,,,,,,
22,22.0,,,,,,,,
23,23.0,,,,,,,,
24,24.0,,,,,,,,
25,25.0,,,,,,,,
26,26.0,,,,,,,,
27,27.0,,,,,,,,
28,28.0,,,,,,,,
29,29.0,,,,,,,,
30,30.0,,,,,,,,
31,31.0,,,,,,,,
32,32.0,,,,,,,,
33,33.0,,,,,,,,
34,34.0,,,,,,,,
35,35.0,,,,,,,,
36,36.0,,,,,,,,
37,37.0,,,,,,,,
38,38.0,,,,,,,,
39,39.0,,,,,,,,
40,40.0,,,,,,,,
41,41.0,,,,,,,,
42,42.0,,,,,,,,
43,43.0,,,,,,,,
44,44.0,,,,,,,,
45,45.0,,,,,,,,
46,46.0,,,,,,,,
47,47.0,,,,,,,,
48,48.0,,,,,,,,
49,49.0,,,,,,,,
50,50.0,,,,,,,,
51,51.0,,,,,,,,
52,52.0,,,,,,,,
53,53.0,,,,,,,,
54,54.0,,,,,,,,
55,55.0,,,,,,,,
56,56.0,,,,,,,,
57,57.0,,,,,,,,
58,58.0,,,,,,,,
59,59.0,,,,,,,,
60,60.0,,,,,,,,
61,61.0,,,,,,,,
62,62.0,,,,,,,,
63,63.0,,,,,,,,
64,64.0,,,,,,,,
65,65.0,,,,,,,,
66,66.0,,,,,,,,
67,67.0,,,,,,,,
68,68.0,,,,,,,,
69,69.0,,,,,,,,
70,70.0,,,,,,,,
71,71.0,,,,,,,,
72,72.0,,,,,,,,
73,73.0,,,,,,,,
74,74.0,,,,,,,,
75,75.0,,,,,,,,
76,76.0,,,,,,,,
77,77.0,,,,,,,,
78,78.0,,,,,,,,
79,79.0,,,,,,,,
80,80.0,,,,,,,,
81,81.0,,,,,,,,
82,82.0,,,,,,,,
83,83.0,,,,,,,,
84,84.0,,,,,,,,
85,85.0,,,,,,,,
86,86.0,,,,,,,,
87,87.0,,,,,,,,
88,88.0,,,,,,,,
89,89.0,,,,,,,,
90,90.0,,,,,,,,
91,91.0,,,,,,,,
92,92.0,,,,,,,,
93,93.0,,,,,,,,
94,94.0,,,,,,,,
95,95.0,,,,,,,,
96,96.0,,,,,,,,
97,97.0,,,,,,,,
98,98.0,,,,,,,,
99,99.0,,,,,,,,
100,100.0,,,,,,,,
101,101.0,,,,,,,,
102,102.0,,,,,,,,
103,103.0,,,,,,,,
104,104.0,,,,,,,,
105,105.0,,,,,,,,
106,106.0,,,,,,,,
107,107.0,,,,,,,,
108,108.0,,,,,,,,
109,109.0,,,,,,,,
110,110.0,,,,,,,,
111,111.0,,,,,,,,
112,112.0,,,,,,,,
113,113.0,,,,,,,,
114,114.0,,,,,,,,
115,115.0,,,,,,,,
116,116.0,,,,,,,,
117,117.0,,,,,,,,
118,118.0,,,,,,,,
119,119.0,,,,,,,,
120,120.0,,,,,,,,
121,121.0,,,,,,,,
122,122.0,,,,,,,,
123,123.0,,,,,,,,
124,124.0,,,,,,,,
125,125.0,,,,,,,,
126,126.0,,,,,,,,
127,127.0,,,,,,,,
128,128.0,,,,,,,,
129,129.0,,,,,,,,
130,130.0,,,,,,,,
131,131.0,,,,,,,,
132,132.0,,,,,,,,
133,133.0,,,,,,,,
134,134.0,,,,,,,,
135,135.0,,,,,,,,
136,136.0,,,,,,,,
137,137.0,,,,,,,,
138,138.0,,,,,,,,
139,139.0,,,,,,,,
140,140.0,,,,,,,,
141,141.0,,,,,,,,
142,142.0,,,,,,,,
143,143.0,,,,,,,,
144,144.0,,,,,,,,
145,145.0,,,,,,,,
146,146.0,,,,,,,,
147,147.0,,,,,,,,
148,148.0,,,,,,,,
149,149.0,,,,,,,,
150,150.0,,,,,,,,
151,151.0,,,,,,,,
152,152.0,,,,,,,,
153,153.0,,,,,,,,
154,154.0,,,,,,,,
155,155.0,,,,,,,,
156,156.0,,,,,,,,
157,157.0,,,,,,,,
158,158.0,835.0,130.0,3.14832219784,0.524762218479,,,3.14832219784,
159,159.0,823.0,135.0,3.17903998624,0.51196313998,0.829380286768,-0.345575119487,3.17903998624,
160,160.0,806.0,138.0,3.22255685314,0.50428369288,1.17495540625,-0.207345071692,3.22255685314,
161,161.0,783.0,142.0,3.28143261424,0.494044430081,1.58964554964,-0.276460095589,3.28143261424,
162,162.0,760.0,145.0,3.34030837534,0.486364982981,1.58964554964,-0.207345071692,3.34030837534,
163,163.0,737.0,149.0,3.39918413643,0.476125720181,1.58964554964,-0.276460095589,3.39918413643,
164,164.0,715.0,153.0,3.45550008183,0.465886457382,1.52053052574,-0.276460095589,3.45550008183,
165,165.0,692.0,156.0,3.51437584293,0.458207010282,1.58964554964,-0.207345071692,3.51437584293,
166,166.0,673.0,159.0,3.56301234123,0.450527563182,1.31318545405,-0.207345071692,3.56301234123,
167,167.0,663.0,158.0,3.58861049823,0.453087378882,0.691150238973,0.0691150238973,3.58861049823,
168,168.0,609.0,160.0,3.72684054602,0.447967747483,3.73221129045,-0.138230047795,3.72684054602,
169,169.0,594.0,158.0,3.76523778152,0.453087378882,1.03672535846,0.138230047795,3.76523778152,
170,170.0,576.0,155.0,3.81131446412,0.460766825982,1.24407043015,0.207345071692,3.81131446412,
171,171.0,553.0,153.0,3.87019022522,0.465886457382,1.58964554964,0.138230047795,3.87019022522,
172,172.0,530.0,152.0,3.92906598631,0.468446273082,1.58964554964,0.0691150238973,3.92906598631,
173,173.0,506.0,155.0,3.99050156311,0.460766825982,1.65876057354,-0.207345071692,3.99050156311,
174,174.0,484.0,160.0,4.04681750851,0.447967747483,1.52053052574,-0.345575119486,4.04681750851,
175,175.0,465.0,164.0,4.09545400681,0.437728484683,1.31318545405,-0.276460095589,4.09545400681,
176,176.0,441.0,167.0,4.15688958361,0.430049037583,1.65876057354,-0.207345071692,4.15688958361,
177,177.0,414.0,166.0,4.2260046075,0.432608853283,1.86610564523,0.0691150238973,4.2260046075,
178,178.0,410.0,165.0,4.2362438703,0.435168668983,0.276460095589,0.0691150238973,4.2362438703,
179,179.0,387.0,163.0,4.2951196314,0.440288300383,1.58964554964,0.138230047795,4.2951196314,
180,180.0,359.0,160.0,4.366794471,0.447967747483,1.93522066912,0.207345071692,4.366794471,
181,181.0,348.0,160.0,4.3949524437,0.447967747483,0.76026526287,0.0,4.3949524437,
182,182.0,337.0,162.0,4.42311041639,0.442848116083,0.76026526287,-0.138230047795,4.42311041639,
183,183.0,320.0,165.0,4.46662728329,0.435168668983,1.17495540625,-0.207345071692,4.46662728329,
184,184.0,289.0,173.0,4.54598156999,0.414690143384,2.14256574082,-0.552920191178,4.54598156999,
185,185.0,273.0,180.0,4.58693862119,0.396771433485,1.10584038236,-0.483805167281,4.58693862119,
186,186.0,257.0,188.0,4.62789567239,0.376292907885,1.10584038236,-0.552920191178,4.62789567239,
187,187.0,240.0,196.0,4.67141253929,0.355814382286,1.17495540625,-0.552920191178,4.67141253929,
188,188.0,224.0,204.0,4.71236959048,0.335335856687,1.10584038236,-0.552920191178,4.71236959048,
189,189.0,206.0,212.0,4.75844627308,0.314857331088,1.24407043015,-0.552920191178,4.75844627308,
190,190.0,182.0,220.0,4.81988184988,0.294378805488,1.65876057354,-0.552920191178,4.81988184988,
191,191.0,178.0,226.0,4.83012111268,0.279019911289,0.276460095589,-0.414690143384,4.83012111268,
192,192.0,158.0,234.0,4.88131742668,0.25854138569,1.38230047795,-0.552920191178,4.88131742668,
193,193.0,133.0,242.0,4.94531281917,0.238062860091,1.72787559743,-0.552920191178,4.94531281917,
194,194.0,122.0,253.0,4.97347079187,0.209904887392,0.76026526287,-0.76026526287,4.97347079187,
195,195.0,115.0,262.0,4.99138950177,0.186866546093,0.483805167281,-0.622035215076,4.99138950177,
196,196.0,98.0,268.0,5.03490636867,0.171507651893,1.17495540625,-0.414690143384,5.03490636867,
197,197.0,75.0,275.0,5.09378212977,0.153588941994,1.58964554964,-0.483805167281,5.09378212977,
198,198.0,56.0,279.0,5.14241862807,0.143349679194,1.31318545405,-0.276460095589,5.14241862807,
199,199.0,45.0,281.0,5.17057660077,0.138230047795,0.76026526287,-0.138230047795,5.17057660077,
200,200.0,31.0,285.0,5.20641402056,0.127990784995,0.967610334562,-0.276460095589,5.20641402056,
201,201.0,20.0,287.0,5.23457199326,0.122871153595,0.76026526287,-0.138230047795,5.23457199326,
202,202.0,16.0,292.0,5.24481125606,0.110072075096,0.276460095589,-0.345575119487,5.24481125606,
203,203.0,,,,,,,,
204,204.0,,,,,,,,
205,205.0,,,,,,,,
206,206.0,,,,,,,,
207,207.0,,,,,,,,
208,208.0,,,,,,,,
209,209.0,,,,,,,,
210,210.0,,,,,,,,
211,211.0,,,,,,,,
212,212.0,,,,,,,,
213,213.0,,,,,,,,
214,214.0,,,,,,,,
215,215.0,,,,,,,,
216,216.0,,,,,,,,
217,217.0,,,,,,,,
218,218.0,,,,,,,,
219,219.0,,,,,,,,
220,220.0,,,,,,,,
221,221.0,,,,,,,,
222,222.0,,,,,,,,
223,223.0,,,,,,,,
224,224.0,,,,,,,,
225,225.0,,,,,,,,
226,226.0,,,,,,,,
227,227.0,,,,,,,,
228,228.0,,,,,,,,
229,229.0,,,,,,,,
230,230.0,,,,,,,,
231,231.0,,,,,,,,
232,232.0,,,,,,,,
233,233.0,,,,,,,,
234,234.0,,,,,,,,
235,235.0,,,,,,,,
236,236.0,,,,,,,,
237,237.0,,,,,,,,
238,238.0,,,,,,,,
239,239.0,,,,,,,,
240,240.0,,,,,,,,
241,241.0,,,,,,,,
242,242.0,,,,,,,,
243,243.0,,,,,,,,
244,244.0,,,,,,,,
245,245.0,,,,,,,,
246,246.0,,,,,,,,
247,247.0,,,,,,,,
248,248.0,,,,,,,,
