,Image frame,x_px,y_px,x,y,u,v,up_x,down_x
0,,,,,,,,,
1,1.0,,,,,,,,
2,2.0,,,,,,,,
3,3.0,,,,,,,,
4,4.0,,,,,,,,
5,5.0,,,,,,,,
6,6.0,,,,,,,,
7,7.0,,,,,,,,
8,8.0,,,,,,,,
9,9.0,,,,,,,,
10,10.0,,,,,,,,
11,11.0,,,,,,,,
12,12.0,,,,,,,,
13,13.0,,,,,,,,
14,14.0,,,,,,,,
15,15.0,,,,,,,,
16,16.0,,,,,,,,
17,17.0,,,,,,,,
18,18.0,,,,,,,,
19,19.0,,,,,,,,
20,20.0,,,,,,,,
21,21.0,,,,,,,,
22,22.0,,,,,,,,
23,23.0,,,,,,,,
24,24.0,,,,,,,,
25,25.0,,,,,,,,
26,26.0,,,,,,,,
27,27.0,,,,,,,,
28,28.0,,,,,,,,
29,29.0,,,,,,,,
30,30.0,,,,,,,,
31,31.0,,,,,,,,
32,32.0,,,,,,,,
33,33.0,,,,,,,,
34,34.0,,,,,,,,
35,35.0,,,,,,,,
36,36.0,,,,,,,,
37,37.0,,,,,,,,
38,38.0,,,,,,,,
39,39.0,,,,,,,,
40,40.0,,,,,,,,
41,41.0,,,,,,,,
42,42.0,,,,,,,,
43,43.0,,,,,,,,
44,44.0,,,,,,,,
45,45.0,,,,,,,,
46,46.0,,,,,,,,
47,47.0,,,,,,,,
48,48.0,,,,,,,,
49,49.0,,,,,,,,
50,50.0,,,,,,,,
51,51.0,,,,,,,,
52,52.0,,,,,,,,
53,53.0,,,,,,,,
54,54.0,,,,,,,,
55,55.0,,,,,,,,
56,56.0,,,,,,,,
57,57.0,,,,,,,,
58,58.0,,,,,,,,
59,59.0,,,,,,,,
60,60.0,,,,,,,,
61,61.0,,,,,,,,
62,62.0,,,,,,,,
63,63.0,,,,,,,,
64,64.0,,,,,,,,
65,65.0,,,,,,,,
66,66.0,,,,,,,,
67,67.0,,,,,,,,
68,68.0,,,,,,,,
69,69.0,,,,,,,,
70,70.0,,,,,,,,
71,71.0,,,,,,,,
72,72.0,,,,,,,,
73,73.0,,,,,,,,
74,74.0,,,,,,,,
75,75.0,,,,,,,,
76,76.0,,,,,,,,
77,77.0,,,,,,,,
78,78.0,,,,,,,,
79,79.0,,,,,,,,
80,80.0,,,,,,,,
81,81.0,,,,,,,,
82,82.0,,,,,,,,
83,83.0,,,,,,,,
84,84.0,,,,,,,,
85,85.0,,,,,,,,
86,86.0,,,,,,,,
87,87.0,,,,,,,,
88,88.0,,,,,,,,
89,89.0,,,,,,,,
90,90.0,,,,,,,,
91,91.0,,,,,,,,
92,92.0,,,,,,,,
93,93.0,,,,,,,,
94,94.0,,,,,,,,
95,95.0,,,,,,,,
96,96.0,,,,,,,,
97,97.0,,,,,,,,
98,98.0,,,,,,,,
99,99.0,,,,,,,,
100,100.0,,,,,,,,
101,101.0,,,,,,,,
102,102.0,,,,,,,,
103,103.0,,,,,,,,
104,104.0,,,,,,,,
105,105.0,,,,,,,,
106,106.0,,,,,,,,
107,107.0,,,,,,,,
108,108.0,,,,,,,,
109,109.0,,,,,,,,
110,110.0,,,,,,,,
111,111.0,,,,,,,,
112,112.0,,,,,,,,
113,113.0,,,,,,,,
114,114.0,,,,,,,,
115,115.0,,,,,,,,
116,116.0,,,,,,,,
117,117.0,,,,,,,,
118,118.0,,,,,,,,
119,119.0,,,,,,,,
120,120.0,,,,,,,,
121,121.0,,,,,,,,
122,122.0,,,,,,,,
123,123.0,,,,,,,,
124,124.0,,,,,,,,
125,125.0,,,,,,,,
126,126.0,,,,,,,,
127,127.0,,,,,,,,
128,128.0,,,,,,,,
129,129.0,,,,,,,,
130,130.0,,,,,,,,
131,131.0,,,,,,,,
132,132.0,,,,,,,,
133,133.0,,,,,,,,
134,134.0,,,,,,,,
135,135.0,,,,,,,,
136,136.0,,,,,,,,
137,137.0,,,,,,,,
138,138.0,,,,,,,,
139,139.0,,,,,,,,
140,140.0,,,,,,,,
141,141.0,,,,,,,,
142,142.0,,,,,,,,
143,143.0,,,,,,,,
144,144.0,,,,,,,,
145,145.0,,,,,,,,
146,146.0,,,,,,,,
147,147.0,,,,,,,,
148,148.0,,,,,,,,
149,149.0,,,,,,,,
150,150.0,,,,,,,,
151,151.0,,,,,,,,
152,152.0,,,,,,,,
153,153.0,,,,,,,,
154,154.0,,,,,,,,
155,155.0,,,,,,,,
156,156.0,,,,,,,,
157,157.0,,,,,,,,
158,158.0,,,,,,,,
159,159.0,,,,,,,,
160,160.0,,,,,,,,
161,161.0,,,,,,,,
162,162.0,,,,,,,,
163,163.0,,,,,,,,
164,164.0,,,,,,,,
165,165.0,,,,,,,,
166,166.0,,,,,,,,
167,167.0,,,,,,,,
168,168.0,,,,,,,,
169,169.0,,,,,,,,
170,170.0,,,,,,,,
171,171.0,,,,,,,,
172,172.0,,,,,,,,
173,173.0,,,,,,,,
174,174.0,,,,,,,,
175,175.0,,,,,,,,
176,176.0,984.0,286.0,4.20048333426,0.437560545261,,,4.20048333426,
177,177.0,976.0,287.0,4.22107441874,0.434986659701,0.555959281038,-0.0694949101297,4.22107441874,
178,178.0,971.0,288.0,4.23394384654,0.43241277414,0.347474550649,-0.0694949101297,4.23394384654,
179,179.0,,,,,,,,
180,180.0,906.0,279.0,4.40124640797,0.455577744184,,,4.40124640797,
181,181.0,894.0,280.0,4.43213303469,0.453003858623,0.833938921557,-0.0694949101297,4.43213303469,
182,182.0,879.0,280.0,4.4707413181,0.453003858623,1.04242365195,0.0,4.4707413181,
183,183.0,863.0,284.0,4.51192348706,0.442708316382,1.11191856208,-0.277979640519,4.51192348706,
184,184.0,841.0,288.0,4.56854896939,0.43241277414,1.52888802285,-0.277979640519,4.56854896939,
185,185.0,819.0,294.0,4.62517445172,0.416969460778,1.52888802285,-0.416969460778,4.62517445172,
186,186.0,811.0,300.0,4.6457655362,0.401526147416,0.555959281038,-0.416969460778,4.6457655362,
187,187.0,798.0,308.0,4.67922604849,0.380935062933,0.903433831686,-0.555959281038,4.67922604849,
188,188.0,782.0,317.0,4.72040821745,0.35777009289,1.11191856208,-0.625454191167,4.72040821745,
189,189.0,763.0,326.0,4.7693120431,0.334605122847,1.32040329246,-0.625454191167,4.7693120431,
190,190.0,750.0,333.0,4.80277255538,0.316587923924,0.903433831686,-0.486464370908,4.80277255538,
191,191.0,742.0,340.0,4.82336363987,0.298570725002,0.555959281038,-0.486464370908,4.82336363987,
192,192.0,716.0,347.0,4.89028466444,0.280553526079,1.80686766337,-0.486464370908,4.89028466444,
193,193.0,688.0,359.0,4.96235346013,0.249666899355,1.94585748363,-0.833938921557,4.96235346013,
194,194.0,675.0,369.0,4.99581397241,0.223928043751,0.903433831686,-0.694949101297,4.99581397241,
195,195.0,659.0,379.0,5.03699614138,0.198189188148,1.11191856208,-0.694949101297,5.03699614138,
196,196.0,640.0,387.0,5.08589996702,0.177598103665,1.32040329246,-0.555959281038,5.08589996702,
197,197.0,623.0,392.0,5.12965602155,0.164728675863,1.18141347221,-0.347474550649,5.12965602155,
198,198.0,608.0,396.0,5.16826430496,0.154433133622,1.04242365195,-0.277979640519,5.16826430496,
199,199.0,594.0,399.0,5.2042987028,0.146711476941,0.972928741816,-0.208484730389,5.2042987028,
200,200.0,574.0,403.0,5.25577641401,0.136415934699,1.38989820259,-0.277979640519,5.25577641401,
201,201.0,555.0,406.0,5.30468023965,0.128694278018,1.32040329246,-0.208484730389,5.30468023965,
202,202.0,536.0,410.0,5.3535840653,0.118398735777,1.32040329246,-0.277979640519,5.3535840653,
203,203.0,520.0,414.0,5.39476623427,0.108103193535,1.11191856208,-0.277979640519,5.39476623427,
204,204.0,508.0,419.0,5.42565286099,0.0952337657333,0.833938921557,-0.347474550649,5.42565286099,
205,205.0,484.0,420.0,5.48742611444,0.092659880173,1.66787784311,-0.0694949101297,5.48742611444,
206,206.0,454.0,421.0,5.56464268125,0.0900859946126,2.08484730389,-0.0694949101297,5.56464268125,
207,207.0,439.0,418.0,5.60325096466,0.0978076512937,1.04242365195,0.208484730389,5.60325096466,
208,208.0,423.0,414.0,5.64443313362,0.108103193535,1.11191856208,0.277979640519,5.64443313362,
209,209.0,406.0,407.0,5.68818918815,0.126120392458,1.18141347221,0.486464370908,5.68818918815,
210,210.0,390.0,402.0,5.72937135711,0.138989820259,1.11191856208,0.347474550649,5.72937135711,
211,211.0,377.0,396.0,5.7628318694,0.154433133622,0.903433831686,0.416969460778,5.7628318694,
212,212.0,361.0,394.0,5.80401403836,0.159580904742,1.11191856208,0.138989820259,5.80401403836,
213,213.0,347.0,398.0,5.84004843621,0.149285362501,0.972928741816,-0.277979640519,5.84004843621,
214,214.0,336.0,405.0,5.86836117737,0.131268163578,0.764444011427,-0.486464370908,5.86836117737,
215,215.0,325.0,411.0,5.89667391854,0.115824850216,0.764444011427,-0.416969460778,5.89667391854,
216,216.0,318.0,416.0,5.91469111746,0.102955422414,0.486464370908,-0.347474550649,5.91469111746,
217,217.0,311.0,418.0,5.93270831638,0.0978076512937,0.486464370908,-0.138989820259,5.93270831638,
218,218.0,291.0,417.0,5.98418602759,0.100381536854,1.38989820259,0.0694949101297,5.98418602759,
219,219.0,272.0,417.0,6.03308985324,0.100381536854,1.32040329246,0.0,6.03308985324,
220,220.0,270.0,415.0,6.03823762436,0.105529307975,0.138989820259,0.138989820259,6.03823762436,
221,221.0,,,,,,,,
222,222.0,215.0,412.0,6.17980133018,0.113250964656,,,6.17980133018,
223,223.0,208.0,411.0,6.1978185291,0.115824850216,0.486464370908,0.0694949101297,6.1978185291,
224,224.0,200.0,412.0,6.21840961358,0.113250964656,0.555959281038,-0.0694949101297,6.21840961358,
225,225.0,192.0,412.0,6.23900069806,0.113250964656,0.555959281038,0.0,6.23900069806,
226,226.0,184.0,414.0,6.25959178255,0.108103193535,0.555959281038,-0.138989820259,6.25959178255,
227,227.0,176.0,414.0,6.28018286703,0.108103193535,0.555959281038,0.0,6.28018286703,
228,228.0,168.0,415.0,6.30077395151,0.105529307975,0.555959281038,-0.0694949101297,6.30077395151,
229,229.0,161.0,416.0,6.31879115044,0.102955422414,0.486464370908,-0.0694949101297,6.31879115044,
