Image frame,down,u,up,v,x,x_px,y,y_px
356,356,0.798096994644,-3.17939975144,,-0.79484993786,0.798096994644,927.0,0.202801218713,273.0
357,357,0.709780334882,-2.38454981358,,0.132474989643,0.709780334882,981.0,0.207707699811,270.0
358,358,,,,,,,,
359,359,,,,,,,,
360,360,,,,,,,,
361,361,,,,,,,,
362,362,,,,,,,,
363,363,,,,,,,,
364,364,,,,,,,,
365,365,,,,,,,,
366,366,,,,,,,,
367,367,,,,,,,,
368,368,,,,,,,,
369,369,,,,,,,,
370,370,,,,,,,,
371,371,,,,,,,,
372,372,,,,,,,,
373,373,,,,,,,,
374,374,,,,,,,,
375,375,,,,,,,,
376,376,,,,,,,,
377,377,,,,,,,,
378,378,,,,,,,,
379,379,,,,,,,,
380,380,,,,,,,,
381,381,,,,,,,,
382,382,,,,,,,,
383,383,,,,,,,,
384,384,,,,,,,,
385,385,,,,,,,,
386,386,,,,,,,,
387,387,,,,,,,,
388,388,,,,,,,,
389,389,,,,,,,,
390,390,,,,,,,,
391,391,,,,,,,,
392,392,,,,,,,,
393,393,,,,,,,,
394,394,,,,,,,,
395,395,,,,,,,,
396,396,,,,,,,,
397,397,,,,,,,,
398,398,,,,,,,,
399,399,,,,,,,,
400,400,,,,,,,,
401,401,,,,,,,,
402,402,,,,,,,,
403,403,,,,,,,,
404,404,,,,,,,,
405,405,,,,,,,,
406,406,,,,,,,,
407,407,,,,,,,,
408,408,,,,,,,,
409,409,,,,,,,,
410,410,,,,,,,,
411,411,,,,,,,,
412,412,,,,,,,,
413,413,,,,,,,,
